open_tag,payload,close_tag,encoding,whitespace
script_open,squote_payload,script_close,none,none
script_open,dquote_payload,Script_close,url_encoded,none
script_open,eval_payload,SCRIPT_close,none,none
Script_open,squote_payload,Script_close,html_entity,none
Script_open,dquote_payload,SCRIPT_close,none,none
Script_open,eval_payload,script_close,none,none
SCRIPT_open,squote_payload,SCRIPT_close,none,none
SCRIPT_open,dquote_payload,script_close,none,none
SCRIPT_open,eval_payload,Script_close,none,none
script_open,squote_payload,SCRIPT_close,url_encoded,space
script_open,dquote_payload,script_close,html_entity,space
script_open,eval_payload,Script_close,none,space
Script_open,squote_payload,script_close,html_entity,space
Script_open,dquote_payload,Script_close,none,space
Script_open,eval_payload,SCRIPT_close,none,space
SCRIPT_open,squote_payload,Script_close,none,space
SCRIPT_open,dquote_payload,SCRIPT_close,none,space
SCRIPT_open,eval_payload,script_close,none,space
script_open,squote_payload,Script_close,html_entity,tab
script_open,dquote_payload,SCRIPT_close,none,tab
script_open,eval_payload,script_close,url_encoded,tab
Script_open,squote_payload,SCRIPT_close,html_entity,tab
Script_open,dquote_payload,script_close,html_entity,tab
Script_open,eval_payload,Script_close,none,tab
SCRIPT_open,squote_payload,script_close,none,tab
SCRIPT_open,dquote_payload,Script_close,none,tab
SCRIPT_open,eval_payload,SCRIPT_close,none,tab
script_open,squote_payload,script_close,url_encoded,newline
script_open,dquote_payload,Script_close,html_entity,newline
script_open,eval_payload,SCRIPT_close,none,newline
Script_open,squote_payload,Script_close,none,newline
Script_open,dquote_payload,SCRIPT_close,html_entity,newline
Script_open,eval_payload,script_close,none,newline
SCRIPT_open,squote_payload,SCRIPT_close,none,newline
SCRIPT_open,dquote_payload,script_close,none,newline
SCRIPT_open,eval_payload,Script_close,none,newline
script_open,dquote_payload,SCRIPT_close,html_entity,none
script_open,squote_payload,Script_close,url_encoded,none
script_open,dquote_payload,script_close,url_encoded,space
script_open,dquote_payload,SCRIPT_close,url_encoded,tab
script_open,eval_payload,Script_close,url_encoded,none
script_open,eval_payload,SCRIPT_close,url_encoded,space
script_open,squote_payload,Script_close,url_encoded,tab
Script_open,squote_payload,script_close,html_entity,newline
script_open,dquote_payload,Script_close,url_encoded,newline
script_open,eval_payload,SCRIPT_close,url_encoded,newline
script_open,eval_payload,script_close,url_encoded,none
script_open,squote_payload,script_close,html_entity,none
script_open,dquote_payload,Script_close,url_encoded,space
Script_open,squote_payload,Script_close,html_entity,space
script_open,dquote_payload,SCRIPT_close,url_encoded,none
script_open,squote_payload,SCRIPT_close,html_entity,space
